,institute,citation_count,article_count
177,Institute of Biomedicine,10,1
178,Intl Health Terminology Standards Development Organisation,10,1
179,Stratametrics LLC.,9,1
180,Universidad Nacional Mayor de San Marcos,9,1
181,National Institute of Health,9,1
182,LTSI,9,3
183,University Hospital Heidelberg,9,9
184,Hospital 12 de Octubre,9,2
185,Hadassah Medical Organization,9,1
186,Laboratoire d'Informatique Médicale,9,9
187,University Hospital Münster,9,10
188,Institute of Public Health,9,6
189,National Physical Laboratory,9,3
190,IMBI,9,2
191,Erasmus University Medical Center,9,5
192,Osaka University Hospital,9,5
193,Carl Gustav Carus Faculty of Medicine,9,3
194,CHU,9,2
195,Kathy Giannangelo Consulting,9,1
196,Aalborg University Hospital,9,10
197,School of Public Health,9,7
198,Eidgenössische Technische Hochschule (ETH),9,1
199,Official Medical Association of Barcelona,9,1
200,New Jersey Institute of Technology,9,2
201,School of Health Management & Information Sciences,9,1
202,OFFIS - Institute for Information Technology,9,8
203,Hebrew University,9,1
204,"CIES-IUL, Escola Nacional de Saúde Pública",9,1
205,Centre National de la Recherche Scientifique,9,1
206,Pinnacle Data Strategies,9,1
207,Ares Trading SA,9,4
208,IBM Watson Health,9,2
209,Dalin Tzu Chi General Hospital,9,1
210,University of Arkansas for Medical Sciences,9,1
211,University of Agder,9,2
212,Beth Israel Deaconess Medical Center,9,2
213,Psychiatric Research Institute,9,1
214,Data-Integration-Center,9,1
215,Swiss Data Science Center,9,2
216,ISCTE-IUL,9,1
217,Lille University Hospital,9,3
218,Graduate Institute of Medical Informatics,8,2
219,First Medical Faculty,8,3
220,Alberta Machine Intelligence Institute,8,1
221,NTNU,8,3
222,Philips Research,8,7
223,Holon Institute of Technology,8,5
224,UMR_S 872,8,1
225,Institute of Health Sciences,8,2
226,Duke Clinical Research Institute,8,1
227,LIMICS,8,9
228,Health Informatics Laboratory,8,16
229,Bern University of Applied Sciences,8,13
230,CERIM EA2694,8,4
231,Universidad Politecnica de Madrid,8,5
232,School of Informatics,8,4
233,Deutsche Telekom Healthcare and Security Solutions GmbH,8,3
234,Division of Molecular and Experimental Surgery,8,1
235,School of Engineering and ICT,8,2
236,Medical Informatics Laboratory,8,7
237,Food and Drug Administration,8,1
238,Institute for Medical Informatics,8,18
239,Örebro University School of Business,8,1
240,Middle East Technical University,8,4
241,Mashhad University of Medical Sciences,8,3
242,Braunschweig Medical Center,8,1
243,Central Queensland University,8,2
244,Anna University,8,4
245,Laboratoire d'ImmunoGénétique Moléculaire LIGM,8,1
246,University Hospital Zurich,8,3
247,IMIM,8,2
248,NIHR Greater Manchester Patient Safety Translational Research Centre,8,1
249,The European Organization for Nuclear Research,7,2
250,CRS4,7,3
251,Osaka University Graduate School of Medicine,7,3
252,Datareg,7,2
253,School of Community Medicine,7,6
254,Maastricht University Medical Centre+,7,4
255,CISMeF Team.,7,1
256,ZB MED - Information Centre for Life Sciences,7,3
257,York Teaching Hospital,7,1
258,IRCCS IO Galeazzi,7,2
259,"Istituto di Elettronica e di Ingegneria dell'Informazione e delle Telecomunicazioni (IEIIT), Consiglio Nazionale delle Ricerche (CNR)",7,1
260,Università di Pavia,7,1
261,Sohard Software GmbH,7,1
262,IMIB-Arrixaca,7,3
263,IMIBE,7,3
264,Danish Centre for Health Telematics,7,9
265,Loughborough University,7,1
266,University Hospital Muenster,7,4
267,National Guard Health Affairs,7,1
268,Interdisciplinary Center for Biobanking-Lübeck,7,1
269,Farr Institute,7,1
270,Columbia University School of Nursing,7,2
271,Pharmaceutical Research Center,7,4
272,Centre de Recherche des Cordeliers,7,3
273,College of Medicine,7,2
274,Arkansas Biosciences Institute,7,4
275,"Institute for Medical Informatics, Biometry and Epidemiology",7,16
276,Hospital General de Ciudad Real,7,1
277,Clinical and Health Informatics Research Group,7,1
278,Agence de la biomédecine,7,2
279,School of Allied Medical Science,7,1
280,Pontificia Universidad Católica de Chile,7,3
281,Centre for Medical Image Computing,7,2
282,SANOFI,6,1
283,Institute of Electronics and Informatics Engineering of Aveiro (IEETA),6,2
284,SINTEF ICT,6,3
285,Institute of Biomedicine of Seville (IBiS),6,1
286,Translational Imaging Group,6,1
287,Cardiff School of Art and Design,6,1
288,Teaching Hospital of Dijon,6,1
289,DigiFinland Oy,6,1
290,Centre for Online Health,6,1
291,Research Institute for Health and Society (IRSS),6,2
292,Institute for Medical Informatics (IMISE),6,2
293,IEETA,6,6
294,Institute for Medical Biometry and Medical Informatics,6,1
295,SIMED,6,1
296,Scientific Institute of Public Health,6,2
297,School of Biomedical Informatics,6,3
298,EMGO+ Institute for Health and Care Research,6,2
299,SRDC Software Research & Development and Consultancy Corp.,6,2
300,Centre for Behaviour Change,6,1
301,Sørlandet Hospital Arendal,6,1
302,INSERM U897,6,2
303,Directorate of Health,6,4
304,IMTSSA,6,2
305,PaRis Artificial Intelligence Research InstitutE (PRAIRIE),6,3
306,INSERM UMR 1163,6,2
307,National Institute of Public Health,6,5
308,University of Leeds,6,1
309,Linkoping University,6,1
310,UT Physician's Women's Center,6,1
311,LERTIM,6,6
312,MKS ltd,6,1
313,IRST-IRCCS,6,1
314,HES-SO,6,4
315,London School of Economics,6,1
316,University of Victoria,6,4
317,LIRMM,6,6
318,Alan Turing Institute,6,1
319,Victor Babes University of Medicine and Pharmacy,6,2
320,Marshfield Clinic Research Foundation,6,1
321,GlaxoSmithKline,6,1
322,VU University Medical Center,6,1
323,Laboratoire d'Informatique Médicale & Bioinformatique,6,1
324,Life Supporting Technologies,6,1
325,Universidad del Cauca,6,2
326,National Institute for Health Research University College London Hospitals Biomedical Research Centre,6,1
327,F.Hoffmann-La Roche Ltd,6,1
328,Uppsala County Council,6,1
329,Faculty of Nursing,6,4
330,Academisch Centrum voor Huisartsgeneeskunde,6,2
331,University of Pavia,6,2
332,Inria,6,8
333,Medical Association Barcelona,6,1
334,Janssen Pharmaceutica NV,6,1
335,Indian Institute of Technology Madras,6,12
336,AIT Austrian Institute of Technology GmbH,6,6
337,Bern University Hospital,6,3
338,UCL Institute of Neurology,6,1
339,CIBERESP,6,1
340,ETSI Telecomunicación,6,4
341,Norwegian Centre for E-Health Research,6,4
342,Islamic Azad University,6,2
343,Health Informatics Lab,6,3
344,Aragon Health Sciences Institute (IACS),6,1
345,Icon PLC,6,1
346,Health Data Research UK,6,1
347,McGovern Medical School,6,1
348,Friedrich-Alexander-University Erlangen-Nürnberg,6,1
349,Bayer Vital GmbH,6,1
350,Freiburg University Hospital,5,5
351,Center for Health System Improvement,5,1
352,MRC Health eResearch Centre,5,1
353,Corporal Michael J. Crescenz VA Medical Center,5,1
354,Laboratoire de Pathophysiologie des Troubles Psychiatriques,5,1
355,Steno Diabetes Center North Denmark,5,10
356,"Institute for Medical Information Processing, Biometry and Epidemiology",5,3
357,Université Catholique de Louvain,5,4
358,Ludwig Boltzmann Institute for Digital Health and Prevention,5,10
359,Software Research & Development and Consultancy Corp.,5,1
360,Research Centre for Medical Informatics,5,1
361,RHÖN-KLINIKUM AG,5,1
362,EPFL,5,3
363,Columbia University Medical Center,5,1
364,S. Maugeri Foundation IRCCS,5,3
365,Institute of Diabetes Gerhard Katsch Karlsburg,5,1
366,iHealthLabs EUROPE SAS,5,1
367,Health Sciences Institute,5,2
368,Yale Cancer Center,5,1
369,Helsinki University Hospital,5,2
370,Centre for Rural Health,5,1
371,Centre for Research and Technology Hellas,5,9
372,"School of Social, Historical and Political Studies",5,1
373,School of Community Health Sciences,5,1
374,King Fahd Medical City,5,1
375,Klinikum Leverkusen,5,1
376,Klinikum der Philipps-Universität,5,1
377,Acquest,5,1
378,HIMSS North America,5,1
379,LIFE - Leipzig Research Centre for Civilization Diseases,5,1
380,Centre for Human Factors Engineering of Health Information Technology (HIT-lab),5,1
381,San Raffaele Scientific Institute,5,1
382,San Martino Polyclinic Hospital - IRCCS,5,2
383,Salzburg Research Forschungsgesellschaft,5,1
384,Sahlgrenska Academy,5,1
385,LUMC,5,1
386,Servicio Andaluz de Salud,5,2
387,Bielefeld Institute for Bioinformatics Infrastructure (BIBI),5,1
388,SIM,5,1
389,VA Boston Health Care System,5,1
390,VA Birmingham Health Care System,5,1
391,Fraunhofer Institute for Biomedical Engineering,5,3
392,Centrum voor Huisartsgeneeskunde,5,1
393,Tomsk Polytechnic University,5,2
394,The Kovens Health System Management Center,5,1
395,University Hospital of Münster,5,1
396,"INSERM, Sorbonne Paris Cité, LIMICS, UMR_S 1142",5,3
397,IRCCS Fondazione Santa Lucia,5,1
398,University Children's Hospital Basel,5,1
399,Prime Vision,5,1
400,IRCCS Fondazione Salvatore Maugeri,5,1
401,Osaka University,5,7
402,East & North Hertfordshire NHS Trust,5,1
403,Texas Advanced Computing Center,5,1
404,Philips Research Europe,5,2
405,Mednet,5,1
406,CHU de Bordeaux,5,2
407,University Hospital Halle,5,1
408,CEN/TC251/WG6 Expert Cessi-Cnamts,5,2
409,Elisabethinen Hospital Linz,5,1
410,Ministry of Modernisation,5,3
411,Ministry of Social Affairs and Health,5,4
412,DigiHealth Institute,5,9
413,"INSERM, UMR_S 1142, LIMICS",5,1
414,Medical University of Vienna,5,5
415,CERN European Centre for Nuclear Research,5,1
416,Fraunhofer Institute for Algorithms and Scientific Computing,5,1
417,Swiss Personalized Health Network,5,1
418,CSC Scandihealth A/S,5,1
419,CHIME,5,3
420,University Medical Centre Mannheim,5,1
421,Dell Medical School,5,1
422,NIPED Research Foundation,5,1
423,The Renal Association,5,1
424,The Maersk Mc-Kinney Moller Institute,5,6
425,Norwegian Centre for e-health Research,5,2
426,University Medical Center Schleswig-Holstein,5,1
427,Medical University,5,6
428,Technical University of Munich,5,5
429,University Hospital of Rennes,5,1
430,ECSG,5,1
431,Tiba Medical Inc.,5,1
432,HL7 Europe Foundation,4,1
433,Kuopio University Hospital,4,4
434,Institute of Virology,4,2
435,National Taiwan University Hospital,4,1
436,Erasmus MC-University Medical Centre,4,1
437,IBM China Research,4,1
438,Institute of Computer Science,4,13
439,Erasmus Medical Center,4,2
440,National Research Council Canada,4,1
441,Clinical Trial Centre (ZKS),4,1
442,"LIMICS, INSERM UMRS 1142",4,3
443,Netherlands Cancer Institute,4,1
444,Ehime University Hospital,4,3
445,IBM Almaden Research Center,4,1
446,ETH Zurich,4,2
447,Istituto per le Tecnologie della Costruzione CNR,4,1
448,School of Healthcare,4,2
449,Italian WHO-FIC Collaborating Center,4,2
450,JOANNEUM RESEARCH Forschungsges.m.b.H.,4,1
451,Norwegian EHR Research Centre,4,4
452,Janssen Research & Development,4,2
453,Nuffield Department of Primary Health Care Sciences,4,1
454,Changi General Hospital,4,1
455,Health Services Research Centre,4,1
456,Helmholtz-Zentrum für Infektionsforschung,4,1
457,Children's Hospital of Los Angeles,4,1
458,OLVG,4,1
459,EA 3888,4,3
460,Health Informatics Discipline,4,1
461,Karolinska Institute,4,2
462,Ocean Informatics Pty Ltd,4,1
463,LIP6,4,3
464,Duke-NUS Medical School,4,1
465,Electronics and Telecommunications Faculty,4,2
466,International Partnership for Health,4,1
467,Instituto de Salud Carlos III,4,2
468,National Institute for Public Health and the Environment,4,1
469,Salvatore Maugeri Foundation IRCCS,4,2
470,Institute of Computer Science AS CR,4,2
471,Lim&Bio Laboratoire d'Informatique Médicale et de Bioinformatique,4,1
472,Instituto Universitario de Tecnologías de la Información y Comunicaciones,4,4
473,Medizinische Hochschule Hannover,4,1
474,Deutches Zentrum für Infektionsforschung,4,1
475,Humanitas Research Hospital,4,1
476,MICC-IKAT,4,1
477,Hospital S. Sebastião,4,1
478,Rensselaer Polytechnic Institute,4,1
479,Fondazione Bruno Kessler Research Institute,4,1
480,"Institute of Health Policy, Management and Evaluation",4,7
481,Rashid Hospital,4,1
482,Rajavithi Hospital,4,1
483,Mayo Clinic College of Medicine,4,1
484,McGill Clinical & Health Informatics,4,2
485,Danish Center for Health Informatics (DaCHI),4,1
486,MedCERTAIN Project Consortium,4,1
487,Medical Physics Laboratory,4,1
488,Medical Informatics and Technology,4,1
489,Queensland University of Technology,4,1
490,Fraunhofer-Institute for Industrial Engineering IAO,4,1
491,Quantitative Medical Imaging International Institutes (QMI3),4,1
492,"Research Unit of Medical Imaging, Physics and Technology",4,1
493,DETI/IEETA,4,7
494,Roessingh Research & Development,4,2
495,Dipartimento di Informatica e Sistemistica,4,7
496,Division of Gastroenterology and Hepatology,4,2
497,Graduate School of EMS System,4,1
498,National Medical Research Center for Neurosurgery named after N.N. Burdenko,4,11
499,Hospital ASST Papa Giovanni XXIII,4,1
500,European Centre for Ontological Research,4,1
501,PSI Laboratory-FRE CNRS 2645,4,1
502,Laboratoire d'Analyse et de Technologie du Langage,4,1
503,"Gesundheits-, Sozial- und Integrationsdirektion",4,1
504,Competence Network for HIV/AIDS (KompNet),4,2
505,Laboratoire d'Informatique Médicale et Bioinformatique (LIM&BIO),4,1
506,Roessingh Research and Development,4,4
507,Laboratoire d'Informatique Médicale et de Bio-informatique (LIM&BIO),4,1
508,European Institute for Innovation through Health Data,4,3
509,Dijon University Hospital,4,4
510,Digitalica Salud SL,4,1
511,S. Maugeri Foundation,4,4
512,"Institute of Medical Informatics, Statistics and Epidemiology",4,5
513,Royal College of General Practitioners Research and Surveillance Centre,4,1
514,Instituto de Investigación Biomédica de A Coruña (INIBIC),4,2
515,Institute of Medical Statistics and Epidemiology,4,3
516,Norwegian University of Science and Technology,4,5
517,Heidelberg University Hospital,4,6
518,Technological Educational Institution of Athens,4,3
519,West-German Cancer Center,4,1
520,Teranga Software,4,4
521,Achmea,4,1
522,W3C Health Care and Life Sciences IG,4,1
523,Callen Lorde Community Health Center,4,1
524,CWI,4,1
525,Shared Services for Ministry of Health,4,1
526,University of Cauca,4,3
527,Ann & Robert H. Lurie Children's Hospital of Chicago,4,1
528,University of Genoa,4,6
529,Technology Sciences Center,4,1
530,The Royal London Hospital,4,2
531,William Harvey Research Institute,4,1
532,Icahn School of Medicine at Mount Sinai,4,4
533,Seoul National University,4,3
534,Centre for Epidemiology Versus Arthritis,4,1
535,World Wide Web Consortium (W3C),4,1
536,Yale School of Medicine,4,1
537,Institute for Health Informatics,4,3
538,Singapore General Hospital,4,1
539,Technological Innovation Group,4,2
540,Trinity College,4,2
541,Agfa HealthCare,4,1
542,"Center for Medical Statistics, Informatics, and Intelligent Systems",4,1
543,University Hospital Basel,4,4
544,CAPHRI Department of Health Promotion,4,1
545,"Institute for Medical Informatics, Statistics und Epidemiology (IMISE)",4,1
546,Spartanburg Regional Home Health Care System,4,1
547,"Software Research, Development and Consultancy Ltd.",4,1
548,Swiss Institute of Bioinformatics,4,6
549,Center of Medical Informatics and Telemedicine,4,1
550,Agence Régionale de Santé,4,1
551,Veterans Health Affairs,4,1
552,TIBS - LITIS EA 4108,4,1
553,Agaplesion Bethesda Clinic,4,1
554,TIMC-IMAG UMR CNRS 5525,4,1
555,Central Health Directorate,4,2
556,"Institute for Medical Information Processing, Biometry and Epidemiology (IBE)",4,3
557,TIMC/IMAG Laboratory,4,1
558,Adana Training and Research Hospital,4,1
559,"Taipei City Hospital, Zhongxiao Branch",4,1
560,Assitance Publique-Hôpitaux de Paris,4,1
561,University of Gondar,4,1
562,Center for Mathematical Modeling,4,1
563,Örebro University,4,3
564,Birmingham AIDS Outreach,4,1
565,Centre for eHealth,4,2
566,Scuola di Formazione Specifica in Medicina Generale,4,1
567,Information Technology Application Nucleus,4,1
568,Institute for Formal Ontologies and Medical Information Science,4,1
569,University Medical Center Hamburg-Eppendorf,4,6
570,IRCCS E. Medea Scientific Institute,4,2
571,"University Institute of Sports Medicine, Prevention and Rehabilitation",4,2
572,UNSW Medicine,4,2
573,United States Food and Drug Administration,4,1
574,Institute for Digital Medicine,4,6
575,"Imperial College of Science, Technology, and Medicine",4,7
576,uMotif,4,1
577,BIOMERIS,4,2
578,"School of Medicine, Public Health and Medical Sciences Graduate Programs",4,1
579,CHU Martinique,4,2
580,Averbis GmbH,4,1
581,Taipei Medical University,3,3
582,Swedish Medical Center and St Anthonys Central Hospital Trauma Research Lab.,3,1
583,Institute of Mathematics and Statistics,3,1
584,CHRU Bretonneau,3,1
585,Niedersächsisches Landesgesundheitsamt,3,1
586,Epilepsy Center,3,1
587,Caretek s.r.l.,3,1
588,Global Center for Medical Engineering and Informatics,3,1
589,UMR ATILF CNRS,3,1
590,National Board of Health,3,1
591,"Institute of Health Policy, Management, and Evaluation",3,2
592,BLUECOMPANION LTD,3,1
593,VeraTech for Health S.L.,3,1
594,IT-Infrastructure for Translational Medical Research,3,2
595,University of Salford,3,1
596,"Institute of Medical Biostatistics, Epidemiology and Informatics (IMBEI)",3,2
597,Virgen del Rocío University Hospitals,3,1
598,"CBER, FDA",3,1
599,Lab of Medical Informatics,3,1
600,Vilans,3,2
601,UPRESS EA 4067,3,1
602,Center for Biomedical Informatics,3,2
603,IBM Research India,3,1
604,Institut d'Orthophonie,3,1
605,Pontificia Universidad Javeriana,3,2
606,Swiss Tropical and Public Health Institute,3,2
607,Danish Diabetes Academy,3,1
608,Media Measurement LTD,3,1
609,Alexander von Humboldt Institute for Internet and Society,3,1
610,IT-University of Copenhagen,3,1
611,Gnomon Informatics,3,1
612,Institute of Lamia,3,1
613,Graduate School of Engineering Science,3,1
614,Dignio AS,3,1
615,ELGA GmbH,3,3
616,Universitat Politècnica de Catalunya,3,4
617,"UMIT - University for Health Sciences, Medical Informatics and Technology",3,5
618,Turku Centre for Computer Science,3,1
619,Duke University Molecular Physiology Institute,3,1
620,Thoraxklinik,3,1
621,I3M,3,1
622,German Center for Vertigo and Balance Disorders,3,1
623,Institut de Cancérologie de Montpellier,3,1
624,Institute of Human Movement Science and Health,3,1
625,Banque Nationale de Données Maladies Rares,3,1
626,Tokyo Medical and Dental University,3,1
627,CISMeF Team,3,1
628,Azienda Ospedaliera Pavia - Sistema Informatico Aziendale,3,1
629,"European Center for Medical Informatics, Statistics and Epidemiology-Cardio",3,3
630,National Intensive Care Evaluation (NICE) Foundation,3,1
631,Autonomous Systems Lab,3,1
632,Hospital General Pediátrico Niños de Acosta Ñu,3,1
633,CHIRAD,3,1
634,EA2694,3,3
635,Hospital General Universitario de Ciudad Real,3,1
636,Geneva University Hospital,3,3
637,CINTESIS,3,4
638,Nuffield Department of Primary Care Health Sciences,3,5
639,Duke Clinical & Translational Science Institute,3,1
640,Lausanne University Hospital,3,2
641,Universidad Nacional de Concepción,3,1
642,Amsterdam Public Health research institute,3,3
643,Universidad Americana,3,1
644,UMG Biobank,3,1
645,Parc de Salut MAR (PSMAR),3,1
646,"Institute for Epidemiology, Social Medicine and Health Systems Research",3,4
647,INSERM U986,3,1
648,Institute for Computer Science,3,3
649,London School of Hygiene and Tropical Medicine,3,1
650,Institut für Medizinische Informatik,3,6
651,The Breast International Group,3,1
652,IBM Haifa Research Labs,3,2
653,CNRS UMR 8163 STL,3,3
654,VISILAB,3,1
655,University of Tromsø,3,1
656,Hospital Virgen del Castillo,3,1
657,Instituto Superior Técnico,3,5
658,COREVIH Bretagne,3,1
659,Dokuz Eylul University,3,3
660,National Institute for Strategic Health Research,3,4
661,Universidad Pablo de Olavide,3,1
662,"Institute for Medical Informatics, Biometry and Epidemiology (IMIBE)",3,2
663,UMIT,3,1
664,Institute of Medical Informatics Statistics,3,1
665,ITMO University,3,7
666,IFR 140 GFAS,3,2
667,KSYOS Health Management Research,3,1
668,Secure Business Austria,3,1
669,Yorkshire Centre for Health Informatics,3,1
670,ARUK Centre for Epidemiology,3,1
671,Institute of Applied Sciences in Medicine,3,1
672,Midcheshire Hospital Foundation Trust,3,1
673,Kappa Santé,3,1
674,Institute Cybernetic Center,3,1
675,INESC TEC,3,1
676,Centre for Decision Research,3,1
677,Institute of Pathology,3,2
678,SRDC Software Research Development & Consultancy Corp,3,2
679,SINTEF,3,2
680,Illinois Institute of Technology,3,1
681,College of Health Sciences,3,1
682,Farr Institute of Health Informatics Research,3,2
683,College of Nursing,3,5
684,IEETA/DET,3,1
685,University Hospital Giessen and Marburg,3,1
686,Academic Center for Computing and Media Studies,3,1
687,Facultad Politénica,3,1
688,Frankfurter Referenzzentrum für Seltene Erkrankungen (FRZSE),3,1
689,Haute école de santé,3,1
690,"Westerdals School of Art, Communication and Technology",3,1
691,Method Park Engineering GmbH,3,1
692,Zentrum für Seltene Erkrankungen Tübingen,3,1
693,"Section for Medical Information Management and Imaging Center for Medical Statistics, Informatics and Intelligent Systems",3,1
694,City Medical Office of Health,3,1
695,School of Health Sciences and Social Care,3,1
696,Chalmers University of Technology,3,5
697,IMIM - Universitat Pompeu Fabra,3,1
698,IRCCS Instituto Ortopedico Galeazzi,3,1
699,Centre régional de PharmacoVigilance,3,1
700,Helix laboratory service,3,1
701,A.C.Camargo Cancer Center,3,1
702,University Hospital of Montpellier,3,1
703,new.business.digital UG,3,1
704,iUZ Technologies,3,1
705,Humboldt-Universität zu Berlin,3,1
706,School of Primary Care,3,1
707,Mediterranean Institute for Primary Care,3,1
708,School of Computer Science,3,3
709,Centre for Research & Technology Hellas,3,6
710,Innovation Centre Computer Assisted Surgery,3,1
